merchant_id,merchant_name,mcc,mcc_desc,merchant_country,merchant_state,merchant_city,merchant_size,risk_tier,base_risk_score
M000160,Golden Lane Jewelry 160,4829,Money Transfer,GB,,,SMALL,HIGH,0.12
M000161,Prime Direct Media 161,5967,Direct Marketing,GB,,,SMALL,HIGH,0.16
M000162,Rapid Transfer Co 162,7995,Betting/Gambling,CA,,,SMALL,HIGH,0.2
M000163,Atlas Gaming 163,5311,Department Stores,IN,WB,Jaipur,SMALL,LOW,0.04
M000164,Orbit Bazaar 164,5944,Jewelry Stores,SG,,,SMALL,MEDIUM,0.1
M000165,Pioneer Restaurant Group 165,5541,Fuel,CA,,,MID,LOW,0.02
M000166,Nova Retail 166,5691,Apparel,IN,WB,Jaipur,LARGE,LOW,0.03
M000167,Apex Mobile Center 167,4821,Wire Transfer,SG,,,SMALL,HIGH,0.14
M000168,Acme Electronics 168,5411,Grocery Stores,IN,DL,Chennai,LARGE,LOW,0.02
M000169,North Star Telecom 169,5812,Restaurants,US,,,SMALL,LOW,0.03
M000170,City Grocery Hub 170,5999,Misc Retail,IN,KA,Ahmedabad,LARGE,MEDIUM,0.05
M000171,Blue Pine Apparel 171,5732,Electronics,AE,,,SMALL,MEDIUM,0.07
M000172,Metro Fuel Station 172,4814,Telecom,IN,DL,Mumbai,SMALL,MEDIUM,0.05
M000173,Sunrise Department Store 173,6011,ATMs,IN,WB,Bengaluru,MID,MEDIUM,0.1
M000174,Golden Lane Jewelry 174,4829,Money Transfer,IN,WB,Delhi,MID,HIGH,0.12
M000175,Prime Direct Media 175,5967,Direct Marketing,US,,,SMALL,HIGH,0.16
M000176,Rapid Transfer Co 176,7995,Betting/Gambling,IN,HR,Mumbai,LARGE,HIGH,0.2
M000177,Atlas Gaming 177,5311,Department Stores,US,,,SMALL,LOW,0.04
M000178,Orbit Bazaar 178,5944,Jewelry Stores,US,,,MID,MEDIUM,0.1
M000179,Pioneer Restaurant Group 179,5541,Fuel,CA,,,SMALL,LOW,0.02
M000180,Nova Retail 180,5691,Apparel,IN,WB,Ahmedabad,MID,LOW,0.03
M000181,Apex Mobile Center 181,4821,Wire Transfer,US,,,SMALL,HIGH,0.14
M000182,Acme Electronics 182,5411,Grocery Stores,US,,,MID,LOW,0.02
M000183,North Star Telecom 183,5812,Restaurants,US,,,LARGE,LOW,0.03
M000184,City Grocery Hub 184,5999,Misc Retail,US,,,SMALL,MEDIUM,0.05
M000185,Blue Pine Apparel 185,5732,Electronics,IN,MH,Ahmedabad,SMALL,MEDIUM,0.07
M000186,Metro Fuel Station 186,4814,Telecom,IN,KA,Jaipur,LARGE,MEDIUM,0.05
M000187,Sunrise Department Store 187,6011,ATMs,US,,,SMALL,MEDIUM,0.1
M000188,Golden Lane Jewelry 188,4829,Money Transfer,IN,RJ,Gurugram,SMALL,HIGH,0.12
M000189,Prime Direct Media 189,5967,Direct Marketing,US,,,SMALL,HIGH,0.16
M000190,Rapid Transfer Co 190,7995,Betting/Gambling,SG,,,MID,HIGH,0.2
M000191,Atlas Gaming 191,5311,Department Stores,IN,DL,Gurugram,SMALL,LOW,0.04
M000192,Orbit Bazaar 192,5944,Jewelry Stores,IN,WB,Jaipur,MID,MEDIUM,0.1
M000193,Pioneer Restaurant Group 193,5541,Fuel,IN,TN,Gurugram,LARGE,LOW,0.02
M000194,Nova Retail 194,5691,Apparel,IN,MH,Chennai,SMALL,LOW,0.03
M000195,Apex Mobile Center 195,4821,Wire Transfer,IN,WB,Delhi,MID,HIGH,0.14
M000196,Acme Electronics 196,5411,Grocery Stores,AE,,,SMALL,LOW,0.02
M000197,North Star Telecom 197,5812,Restaurants,IN,WB,Mumbai,SMALL,LOW,0.03
M000198,City Grocery Hub 198,5999,Misc Retail,IN,WB,Delhi,LARGE,MEDIUM,0.05
M000199,Blue Pine Apparel 199,5732,Electronics,US,,,SMALL,MEDIUM,0.07
M000200,Metro Fuel Station 200,4814,Telecom,US,,,SMALL,MEDIUM,0.05
M000201,Sunrise Department Store 201,6011,ATMs,AE,,,SMALL,MEDIUM,0.1
M000202,Golden Lane Jewelry 202,4829,Money Transfer,US,,,SMALL,HIGH,0.12
M000203,Prime Direct Media 203,5967,Direct Marketing,IN,GJ,Ahmedabad,SMALL,HIGH,0.16
M000204,Rapid Transfer Co 204,7995,Betting/Gambling,AE,,,SMALL,HIGH,0.2
M000205,Atlas Gaming 205,5311,Department Stores,GB,,,SMALL,LOW,0.04
M000206,Orbit Bazaar 206,5944,Jewelry Stores,US,,,SMALL,MEDIUM,0.1
M000207,Pioneer Restaurant Group 207,5541,Fuel,US,,,SMALL,LOW,0.02
M000208,Nova Retail 208,5691,Apparel,US,,,MID,LOW,0.03
M000209,Apex Mobile Center 209,4821,Wire Transfer,US,,,MID,HIGH,0.14
M000210,Acme Electronics 210,5411,Grocery Stores,CA,,,MID,LOW,0.02
M000211,North Star Telecom 211,5812,Restaurants,IN,KA,Bengaluru,SMALL,LOW,0.03
M000212,City Grocery Hub 212,5999,Misc Retail,IN,DL,Gurugram,LARGE,MEDIUM,0.05
M000213,Blue Pine Apparel 213,5732,Electronics,US,,,LARGE,MEDIUM,0.07
M000214,Metro Fuel Station 214,4814,Telecom,GB,,,SMALL,MEDIUM,0.05
M000215,Sunrise Department Store 215,6011,ATMs,IN,DL,Kolkata,MID,MEDIUM,0.1
M000216,Golden Lane Jewelry 216,4829,Money Transfer,IN,TN,Bengaluru,SMALL,HIGH,0.12
M000217,Prime Direct Media 217,5967,Direct Marketing,IN,DL,Chennai,MID,HIGH,0.16
M000218,Rapid Transfer Co 218,7995,Betting/Gambling,IN,TN,Delhi,SMALL,HIGH,0.2
M000219,Atlas Gaming 219,5311,Department Stores,US,,,SMALL,LOW,0.04
M000220,Orbit Bazaar 220,5944,Jewelry Stores,IN,KA,Delhi,SMALL,MEDIUM,0.1
M000221,Pioneer Restaurant Group 221,5541,Fuel,US,,,SMALL,LOW,0.02
M000222,Nova Retail 222,5691,Apparel,IN,WB,Kolkata,MID,LOW,0.03
M000223,Apex Mobile Center 223,4821,Wire Transfer,US,,,MID,HIGH,0.14
M000224,Acme Electronics 224,5411,Grocery Stores,AE,,,SMALL,LOW,0.02
M000225,North Star Telecom 225,5812,Restaurants,AE,,,MID,LOW,0.03
M000226,City Grocery Hub 226,5999,Misc Retail,IN,MH,Mumbai,MID,MEDIUM,0.05
M000227,Blue Pine Apparel 227,5732,Electronics,IN,WB,Jaipur,MID,MEDIUM,0.07
M000228,Metro Fuel Station 228,4814,Telecom,SG,,,SMALL,MEDIUM,0.05
M000229,Sunrise Department Store 229,6011,ATMs,CA,,,SMALL,MEDIUM,0.1
M000230,Golden Lane Jewelry 230,4829,Money Transfer,US,,,SMALL,HIGH,0.12
M000231,Prime Direct Media 231,5967,Direct Marketing,US,,,SMALL,HIGH,0.16
M000232,Rapid Transfer Co 232,7995,Betting/Gambling,US,,,SMALL,HIGH,0.2
M000233,Atlas Gaming 233,5311,Department Stores,US,,,MID,LOW,0.04
M000234,Orbit Bazaar 234,5944,Jewelry Stores,IN,DL,Mumbai,MID,MEDIUM,0.1
M000235,Pioneer Restaurant Group 235,5541,Fuel,IN,WB,Bengaluru,SMALL,LOW,0.02
M000236,Nova Retail 236,5691,Apparel,CA,,,MID,LOW,0.03
M000237,Apex Mobile Center 237,4821,Wire Transfer,CA,,,MID,HIGH,0.14
M000238,Acme Electronics 238,5411,Grocery Stores,SG,,,SMALL,LOW,0.02
M000239,North Star Telecom 239,5812,Restaurants,IN,TN,Kolkata,MID,LOW,0.03
M000240,City Grocery Hub 240,5999,Misc Retail,GB,,,SMALL,MEDIUM,0.05
M000241,Blue Pine Apparel 241,5732,Electronics,IN,GJ,Chennai,LARGE,MEDIUM,0.07
M000242,Metro Fuel Station 242,4814,Telecom,AE,,,SMALL,MEDIUM,0.05
M000243,Sunrise Department Store 243,6011,ATMs,US,,,MID,MEDIUM,0.1
M000244,Golden Lane Jewelry 244,4829,Money Transfer,US,,,SMALL,HIGH,0.12
M000245,Prime Direct Media 245,5967,Direct Marketing,US,,,MID,HIGH,0.16
M000246,Rapid Transfer Co 246,7995,Betting/Gambling,US,,,SMALL,HIGH,0.2
M000247,Atlas Gaming 247,5311,Department Stores,US,,,MID,LOW,0.04
M000248,Orbit Bazaar 248,5944,Jewelry Stores,IN,KA,Gurugram,SMALL,MEDIUM,0.1
M000249,Pioneer Restaurant Group 249,5541,Fuel,US,,,MID,LOW,0.02
M000250,Nova Retail 250,5691,Apparel,IN,HR,Delhi,MID,LOW,0.03
M000251,Apex Mobile Center 251,4821,Wire Transfer,GB,,,SMALL,HIGH,0.14
M000252,Acme Electronics 252,5411,Grocery Stores,US,,,SMALL,LOW,0.02
M000253,North Star Telecom 253,5812,Restaurants,IN,RJ,Delhi,SMALL,LOW,0.03
M000254,City Grocery Hub 254,5999,Misc Retail,IN,HR,Delhi,MID,MEDIUM,0.05
M000255,Blue Pine Apparel 255,5732,Electronics,IN,HR,Jaipur,SMALL,MEDIUM,0.07
M000256,Metro Fuel Station 256,4814,Telecom,GB,,,MID,MEDIUM,0.05
M000257,Sunrise Department Store 257,6011,ATMs,GB,,,LARGE,MEDIUM,0.1
M000258,Golden Lane Jewelry 258,4829,Money Transfer,GB,,,LARGE,HIGH,0.12
M000259,Prime Direct Media 259,5967,Direct Marketing,IN,WB,Kolkata,LARGE,HIGH,0.16
M000260,Rapid Transfer Co 260,7995,Betting/Gambling,IN,GJ,Chennai,MID,HIGH,0.2
M000261,Atlas Gaming 261,5311,Department Stores,US,,,SMALL,LOW,0.04
M000262,Orbit Bazaar 262,5944,Jewelry Stores,US,,,SMALL,MEDIUM,0.1
M000263,Pioneer Restaurant Group 263,5541,Fuel,IN,HR,Chennai,MID,LOW,0.02
M000264,Nova Retail 264,5691,Apparel,AE,,,LARGE,LOW,0.03
M000265,Apex Mobile Center 265,4821,Wire Transfer,IN,WB,Mumbai,MID,HIGH,0.14
M000266,Acme Electronics 266,5411,Grocery Stores,US,,,SMALL,LOW,0.02
M000267,North Star Telecom 267,5812,Restaurants,US,,,MID,LOW,0.03
M000268,City Grocery Hub 268,5999,Misc Retail,US,,,SMALL,MEDIUM,0.05
M000269,Blue Pine Apparel 269,5732,Electronics,US,,,SMALL,MEDIUM,0.07
M000270,Metro Fuel Station 270,4814,Telecom,IN,RJ,Jaipur,SMALL,MEDIUM,0.05
M000271,Sunrise Department Store 271,6011,ATMs,SG,,,SMALL,MEDIUM,0.1
M000272,Golden Lane Jewelry 272,4829,Money Transfer,GB,,,MID,HIGH,0.12
M000273,Prime Direct Media 273,5967,Direct Marketing,IN,DL,Chennai,MID,HIGH,0.16
M000274,Rapid Transfer Co 274,7995,Betting/Gambling,AE,,,SMALL,HIGH,0.2
M000275,Atlas Gaming 275,5311,Department Stores,SG,,,SMALL,LOW,0.04
M000276,Orbit Bazaar 276,5944,Jewelry Stores,GB,,,SMALL,MEDIUM,0.1
M000277,Pioneer Restaurant Group 277,5541,Fuel,IN,GJ,Jaipur,SMALL,LOW,0.02
M000278,Nova Retail 278,5691,Apparel,GB,,,SMALL,LOW,0.03
M000279,Apex Mobile Center 279,4821,Wire Transfer,IN,MH,Mumbai,MID,HIGH,0.14
M000280,Acme Electronics 280,5411,Grocery Stores,SG,,,MID,LOW,0.02
M000281,North Star Telecom 281,5812,Restaurants,IN,GJ,Chennai,SMALL,LOW,0.03
M000282,City Grocery Hub 282,5999,Misc Retail,AE,,,SMALL,MEDIUM,0.05
M000283,Blue Pine Apparel 283,5732,Electronics,CA,,,SMALL,MEDIUM,0.07
M000284,Metro Fuel Station 284,4814,Telecom,IN,RJ,Kolkata,MID,MEDIUM,0.05
M000285,Sunrise Department Store 285,6011,ATMs,IN,TN,Ahmedabad,SMALL,MEDIUM,0.1
M000286,Golden Lane Jewelry 286,4829,Money Transfer,IN,KA,Delhi,SMALL,HIGH,0.12
M000287,Prime Direct Media 287,5967,Direct Marketing,IN,HR,Gurugram,MID,HIGH,0.16
M000288,Rapid Transfer Co 288,7995,Betting/Gambling,US,,,SMALL,HIGH,0.2
M000289,Atlas Gaming 289,5311,Department Stores,GB,,,SMALL,LOW,0.04
M000290,Orbit Bazaar 290,5944,Jewelry Stores,IN,RJ,Gurugram,MID,MEDIUM,0.1
M000291,Pioneer Restaurant Group 291,5541,Fuel,IN,HR,Gurugram,SMALL,LOW,0.02
M000292,Nova Retail 292,5691,Apparel,US,,,SMALL,LOW,0.03
M000293,Apex Mobile Center 293,4821,Wire Transfer,US,,,SMALL,HIGH,0.14
M000294,Acme Electronics 294,5411,Grocery Stores,US,,,LARGE,LOW,0.02
M000295,North Star Telecom 295,5812,Restaurants,IN,GJ,Kolkata,LARGE,LOW,0.03
